l_shoulder,r_shoulder,l_elbow,r_elbow,l_wrist,r_wrist,l_hip,r_hip
"[0.5548003315925598, 0.2850371301174164, -0.13382665812969208]","[0.44209110736846924, 0.2691071331501007, -0.11708779633045197]","[0.5643084049224854, 0.4461018741130829, -0.09052582085132599]","[0.4173724353313446, 0.4307534992694855, -0.07957354933023453]","[0.5645036697387695, 0.5960671901702881, -0.20641371607780457]","[0.4084102213382721, 0.5680956244468689, -0.181670680642128]","[0.5241217017173767, 0.5872706174850464, -0.005747862625867128]","[0.4578641951084137, 0.5850822329521179, 0.00584805104881525]"
"[0.5549958348274231, 0.28541573882102966, -0.13534273207187653]","[0.44209352135658264, 0.2687619924545288, -0.11789488047361374]","[0.5644556283950806, 0.4472401440143585, -0.09173161536455154]","[0.41499170660972595, 0.4279094636440277, -0.08140720427036285]","[0.5644957423210144, 0.5972555875778198, -0.2056138664484024]","[0.4049367308616638, 0.5661924481391907, -0.18335965275764465]","[0.5239315629005432, 0.5882300734519958, -0.005479142535477877]","[0.4573284685611725, 0.5850541591644287, 0.00557446526363492]"
"[0.5551930069923401, 0.285866916179657, -0.13687704503536224]","[0.44208255410194397, 0.26848727464675903, -0.11456628888845444]","[0.564477264881134, 0.4482344388961792, -0.09941926598548889]","[0.4129084050655365, 0.4265517294406891, -0.08211003988981247]","[0.5645020008087158, 0.5979446172714233, -0.2158074975013733]","[0.40098994970321655, 0.5623427629470825, -0.2041805237531662]","[0.5238428711891174, 0.5887570381164551, -0.006685989443212748]","[0.4569958448410034, 0.5850628614425659, 0.006797293201088905]"
"[0.5554980635643005, 0.2862878441810608, -0.13643723726272583]","[0.44210126996040344, 0.26781606674194336, -0.10301537066698074]","[0.5645250678062439, 0.44860267639160156, -0.10094443708658218]","[0.4107462763786316, 0.4215453267097473, -0.08265561610460281]","[0.5645385980606079, 0.5982601642608643, -0.21967339515686035]","[0.3991228938102722, 0.5539088845252991, -0.21974916756153107]","[0.5234994292259216, 0.589540958404541, -0.00955574493855238]","[0.4563085436820984, 0.5852832794189453, 0.009690315462648869]"
"[0.5560606122016907, 0.2864873707294464, -0.13558721542358398]","[0.44224485754966736, 0.2663660943508148, -0.09383060783147812]","[0.5647329688072205, 0.4488103985786438, -0.10388696193695068]","[0.40960028767585754, 0.4156673848628998, -0.0831633135676384]","[0.5646660923957825, 0.5982352495193481, -0.2193601280450821]","[0.3980913758277893, 0.5416911840438843, -0.230677530169487]","[0.5232388377189636, 0.5897563099861145, -0.013919556513428688]","[0.4558738172054291, 0.5852575898170471, 0.014064407907426357]"
"[0.556659460067749, 0.2865443825721741, -0.12908212840557098]","[0.44240617752075195, 0.26526954770088196, -0.08216755837202072]","[0.5650603771209717, 0.44880157709121704, -0.10099361091852188]","[0.40989047288894653, 0.40980884432792664, -0.07953498512506485]","[0.5647457242012024, 0.5981006622314453, -0.2176027148962021]","[0.39746400713920593, 0.5302336812019348, -0.23282085359096527]","[0.5231021642684937, 0.5898303985595703, -0.014072980731725693]","[0.4556955397129059, 0.5851767659187317, 0.014210235327482224]"
"[0.5570784211158752, 0.2866860032081604, -0.1260233372449875]","[0.44254112243652344, 0.26471102237701416, -0.0778946578502655]","[0.5651505589485168, 0.44878843426704407, -0.09938771277666092]","[0.409918874502182, 0.4043930172920227, -0.07472506910562515]","[0.5648910999298096, 0.5978965163230896, -0.21545715630054474]","[0.397619366645813, 0.5230545401573181, -0.22840189933776855]","[0.5227634310722351, 0.5897907614707947, -0.014095127582550049]","[0.4552585482597351, 0.5844797492027283, 0.014229393564164639]"
"[0.5575433969497681, 0.28680872917175293, -0.12429556995630264]","[0.4425983726978302, 0.2644907832145691, -0.08253898471593857]","[0.5652503371238708, 0.44851768016815186, -0.09869282692670822]","[0.40985819697380066, 0.4012519419193268, -0.09008128196001053]","[0.5649232268333435, 0.5971723198890686, -0.21122148633003235]","[0.39771831035614014, 0.5171415209770203, -0.2630496621131897]","[0.5224093198776245, 0.5896374583244324, -0.013647641986608505]","[0.4548116624355316, 0.5832381844520569, 0.013775836676359177]"
"[0.5577806234359741, 0.2872360348701477, -0.12138199061155319]","[0.44268980622291565, 0.26410484313964844, -0.08134222775697708]","[0.5653377771377563, 0.4484524428844452, -0.09572538733482361]","[0.409690260887146, 0.39830678701400757, -0.09277376532554626]","[0.565071702003479, 0.5967438220977783, -0.20593969523906708]","[0.39770928025245667, 0.5120363831520081, -0.2678861916065216]","[0.5221272110939026, 0.5896157622337341, -0.01336039137095213]","[0.4545760452747345, 0.5827401876449585, 0.013488623313605785]"
"[0.5580861568450928, 0.28759288787841797, -0.12017465382814407]","[0.4428887665271759, 0.26361897587776184, -0.07705314457416534]","[0.5653961896896362, 0.4484409689903259, -0.09347797185182571]","[0.409365177154541, 0.39435747265815735, -0.09193669259548187]","[0.5652679204940796, 0.5965785980224609, -0.20264093577861786]","[0.39795050024986267, 0.5064238905906677, -0.2688697278499603]","[0.5220295190811157, 0.5896312594413757, -0.013253341428935528]","[0.45460107922554016, 0.5826863646507263, 0.01337320078164339]"
