l_shoulder,r_shoulder,l_elbow,r_elbow,l_wrist,r_wrist,l_hip,r_hip
"[1116.388671875, 624.9544067382812]","[944.9556884765625, 560.3922119140625]","[1144.984375, 785.1939697265625]","[887.7504272460938, 433.8575439453125]","[1127.801025390625, 922.7919921875]","[895.8685302734375, 284.4027099609375]","[1068.9658203125, 932.7815551757812]","[951.7454223632812, 915.721435546875]"
"[1116.0501708984375, 624.5053100585938]","[944.4263916015625, 559.1629638671875]","[1145.402099609375, 784.94970703125]","[889.6209716796875, 433.5439453125]","[1126.87109375, 922.0921630859375]","[898.4441528320312, 283.49468994140625]","[1068.599853515625, 931.3086547851562]","[951.142578125, 913.7547607421875]"
"[1115.57421875, 625.093505859375]","[944.36181640625, 559.0319213867188]","[1144.97119140625, 785.234130859375]","[890.9071044921875, 433.5318603515625]","[1127.095703125, 922.6568603515625]","[901.47998046875, 284.1044616699219]","[1068.5626220703125, 932.7474365234375]","[951.2935180664062, 914.851318359375]"
"[1115.082275390625, 624.7864990234375]","[944.1444091796875, 558.719970703125]","[1144.46923828125, 784.5466918945312]","[891.7326049804688, 435.0176696777344]","[1127.8646240234375, 922.1310424804688]","[903.668212890625, 286.53131103515625]","[1068.736083984375, 931.24365234375]","[951.561767578125, 913.3485717773438]"
"[1114.831298828125, 624.9613647460938]","[943.77294921875, 558.7445678710938]","[1144.820556640625, 785.1117553710938]","[892.8638916015625, 434.5108337402344]","[1128.2342529296875, 922.41748046875]","[907.9553833007812, 286.0933837890625]","[1068.7183837890625, 931.9374389648438]","[951.3006591796875, 914.1080322265625]"
"[1114.83642578125, 624.9227294921875]","[943.795166015625, 558.657470703125]","[1144.890869140625, 785.1529541015625]","[892.87109375, 434.4533386230469]","[1128.078857421875, 922.56298828125]","[907.95556640625, 286.39361572265625]","[1068.6336669921875, 931.8850708007812]","[951.2444458007812, 914.0643310546875]"
"[1114.73583984375, 624.989013671875]","[943.580078125, 559.0999755859375]","[1145.06494140625, 784.9478759765625]","[894.0089721679688, 435.4775390625]","[1129.968994140625, 922.642578125]","[908.9122924804688, 287.22412109375]","[1068.8934326171875, 931.7354736328125]","[951.2442626953125, 913.9553833007812]"
"[1114.67333984375, 624.4805908203125]","[942.50244140625, 558.9356689453125]","[1144.787353515625, 784.5416259765625]","[892.9288330078125, 434.717529296875]","[1130.600341796875, 922.8505859375]","[909.1009521484375, 285.68707275390625]","[1070.185791015625, 932.6478881835938]","[951.8556518554688, 915.2994384765625]"
"[1114.552734375, 625.0302734375]","[942.5032958984375, 558.66259765625]","[1144.891357421875, 785.5643310546875]","[892.1749877929688, 434.77862548828125]","[1130.9613037109375, 923.189453125]","[907.9866943359375, 286.7986145019531]","[1068.98388671875, 932.2447509765625]","[950.91064453125, 914.4175415039062]"
"[1114.33544921875, 624.5177001953125]","[942.7066040039062, 559.020751953125]","[1145.080078125, 784.5921020507812]","[890.7322998046875, 434.1219177246094]","[1131.7578125, 923.3944702148438]","[905.7101440429688, 286.6994323730469]","[1069.181884765625, 933.0245361328125]","[951.4074096679688, 915.7608642578125]"
"[1114.6915283203125, 624.689697265625]","[942.4691162109375, 559.2158203125]","[1145.325927734375, 784.39892578125]","[887.7046508789062, 432.9224853515625]","[1131.47509765625, 923.251220703125]","[901.8194580078125, 285.2203674316406]","[1069.8831787109375, 932.6517333984375]","[951.8048095703125, 915.4617919921875]"
