l_shoulder,r_shoulder,l_elbow,r_elbow,l_wrist,r_wrist,l_hip,r_hip
"[1054.6920166015625, 308.54864501953125]","[848.2083740234375, 306.9597473144531]","[1078.202880859375, 481.7395935058594]","[812.5257568359375, 480.9720153808594]","[1084.6805419921875, 632.89111328125]","[803.4935302734375, 631.5213623046875]","[1011.3576049804688, 643.3350219726562]","[871.9576416015625, 639.5985107421875]"
"[1054.790771484375, 311.2299499511719]","[845.933349609375, 306.7720947265625]","[1079.86279296875, 484.0750732421875]","[812.6246337890625, 480.8513488769531]","[1081.09375, 629.5309448242188]","[803.6511840820312, 627.8610229492188]","[1011.0469970703125, 639.788330078125]","[870.891357421875, 637.5353393554688]"
"[1055.3685302734375, 308.6707763671875]","[851.0718383789062, 306.49151611328125]","[1078.302734375, 481.4750061035156]","[813.1727294921875, 479.4444580078125]","[1084.507080078125, 631.6422119140625]","[803.1251220703125, 626.5994873046875]","[1011.0624389648438, 643.0799560546875]","[873.084716796875, 639.1279907226562]"
"[1055.4681396484375, 309.1751708984375]","[851.0912475585938, 306.2976379394531]","[1077.2484130859375, 481.5837707519531]","[813.201416015625, 478.2853088378906]","[1083.4969482421875, 631.772216796875]","[802.414306640625, 625.082275390625]","[1010.7052001953125, 643.192626953125]","[872.5475463867188, 638.8966674804688]"
"[1055.931396484375, 309.07000732421875]","[850.9480590820312, 305.1942443847656]","[1077.6717529296875, 482.086181640625]","[812.6783447265625, 476.30242919921875]","[1086.845458984375, 632.1212158203125]","[801.8724975585938, 623.8073120117188]","[1010.814697265625, 642.4260864257812]","[872.40087890625, 637.9803466796875]"
"[1056.4649658203125, 310.5558166503906]","[847.3493041992188, 303.36651611328125]","[1080.16845703125, 484.9796142578125]","[811.62060546875, 475.7632141113281]","[1081.898681640625, 628.8963012695312]","[802.0604248046875, 620.9757080078125]","[1010.685546875, 638.746826171875]","[870.4173583984375, 635.462158203125]"
"[1056.558349609375, 310.02459716796875]","[847.7093505859375, 302.38385009765625]","[1080.226806640625, 485.0464782714844]","[811.4368286132812, 474.64166259765625]","[1081.497802734375, 629.9609985351562]","[801.3736572265625, 619.9035034179688]","[1010.5701904296875, 638.7728271484375]","[870.5029296875, 635.3651123046875]"
"[1056.85302734375, 309.16693115234375]","[849.33642578125, 303.2398376464844]","[1080.0450439453125, 484.377685546875]","[809.205078125, 473.2585144042969]","[1084.6475830078125, 629.6046142578125]","[800.9354248046875, 618.5549926757812]","[1010.856201171875, 638.669189453125]","[871.304931640625, 634.7866821289062]"
"[1056.9285888671875, 309.07684326171875]","[849.52685546875, 301.88140869140625]","[1080.0350341796875, 484.6585693359375]","[808.1572265625, 469.28594970703125]","[1084.262939453125, 630.1016845703125]","[799.2572021484375, 613.93408203125]","[1010.4413452148438, 639.0660400390625]","[871.003662109375, 634.7899780273438]"
"[1057.2667236328125, 308.57586669921875]","[850.230224609375, 300.0521240234375]","[1079.95947265625, 484.7388610839844]","[806.046630859375, 464.9678649902344]","[1084.0108642578125, 630.0038452148438]","[796.6583862304688, 608.9122314453125]","[1010.1531982421875, 639.10546875]","[871.0703125, 634.5155639648438]"
"[1058.0052490234375, 309.1368408203125]","[848.3955688476562, 296.1938781738281]","[1079.6934814453125, 482.93365478515625]","[803.8020629882812, 463.64013671875]","[1079.70849609375, 631.2855834960938]","[795.7879638671875, 602.0601806640625]","[1009.421630859375, 633.6347045898438]","[870.7091674804688, 628.675048828125]"
"[1058.5394287109375, 308.6098327636719]","[848.9736328125, 294.7279968261719]","[1079.7982177734375, 482.95233154296875]","[801.9334716796875, 461.36883544921875]","[1079.786376953125, 631.8833618164062]","[792.7857055664062, 601.3128662109375]","[1008.820068359375, 633.3073120117188]","[870.1773681640625, 628.0877685546875]"
"[1058.409912109375, 308.31396484375]","[848.8082275390625, 293.5829772949219]","[1080.030029296875, 482.4033508300781]","[799.2142333984375, 458.7294921875]","[1080.6322021484375, 631.839599609375]","[784.7239379882812, 598.0829467773438]","[1008.6265869140625, 632.8933715820312]","[870.19189453125, 627.183837890625]"
"[1058.593994140625, 308.3035888671875]","[849.2864990234375, 292.97808837890625]","[1080.7230224609375, 481.11358642578125]","[797.9349975585938, 454.5123596191406]","[1080.68798828125, 630.8295288085938]","[777.5831298828125, 591.048095703125]","[1008.6915893554688, 632.6947631835938]","[870.4473266601562, 626.656982421875]"
"[1058.8931884765625, 308.65545654296875]","[848.5614013671875, 292.05340576171875]","[1081.1099853515625, 481.87054443359375]","[794.8253173828125, 451.2464904785156]","[1081.086669921875, 631.342529296875]","[773.8361206054688, 583.386962890625]","[1008.147216796875, 633.4693603515625]","[869.329833984375, 626.963134765625]"
