l_shoulder,r_shoulder,l_elbow,r_elbow,l_wrist,r_wrist,l_hip,r_hip
"[1057.592529296875, 307.08819580078125]","[866.4933471679688, 257.9415283203125]","[1090.947998046875, 452.10675048828125]","[762.435546875, 226.6702880859375]","[1089.17236328125, 591.779296875]","[652.35546875, 180.45901489257812]","[1000.0753784179688, 580.3260498046875]","[887.0811767578125, 563.3212890625]"
"[1057.2529296875, 307.206787109375]","[866.626708984375, 258.34979248046875]","[1090.7081298828125, 451.9736022949219]","[757.3858642578125, 230.40927124023438]","[1090.71826171875, 591.8713989257812]","[647.403564453125, 187.36495971679688]","[999.9959106445312, 580.480224609375]","[887.6236572265625, 563.7158203125]"
"[1057.62353515625, 307.0423889160156]","[868.3974609375, 258.83697509765625]","[1091.155029296875, 451.115478515625]","[758.49169921875, 233.017333984375]","[1091.46435546875, 591.4214477539062]","[646.8868408203125, 193.72869873046875]","[1000.193115234375, 580.4513549804688]","[888.693603515625, 563.919921875]"
"[1057.6160888671875, 306.89373779296875]","[867.76953125, 259.66748046875]","[1090.86669921875, 451.13323974609375]","[755.3795166015625, 238.8471221923828]","[1091.791259765625, 590.8217163085938]","[642.9503173828125, 204.68971252441406]","[1000.7796020507812, 580.2738037109375]","[889.1702270507812, 563.982177734375]"
"[1057.7120361328125, 306.224365234375]","[867.876708984375, 260.23236083984375]","[1090.99853515625, 451.0710754394531]","[756.5772705078125, 246.025634765625]","[1091.9713134765625, 591.0936889648438]","[640.7562255859375, 212.1170654296875]","[1000.7733154296875, 580.2105102539062]","[889.2467651367188, 564.2027587890625]"
"[1057.631591796875, 305.501220703125]","[867.2206420898438, 261.0394287109375]","[1091.2767333984375, 450.6361999511719]","[752.0808715820312, 250.7150115966797]","[1091.87744140625, 591.5764770507812]","[632.7446899414062, 219.5635528564453]","[1001.3040771484375, 580.298095703125]","[889.8085327148438, 564.6580810546875]"
"[1057.7716064453125, 305.0690002441406]","[866.9661254882812, 262.130615234375]","[1091.5830078125, 450.6708984375]","[749.1982421875, 256.30279541015625]","[1091.704833984375, 591.3975830078125]","[630.0770874023438, 228.87318420410156]","[1001.8466796875, 580.3917236328125]","[890.4566650390625, 565.2153930664062]"
"[1057.8720703125, 304.966064453125]","[866.743896484375, 263.28558349609375]","[1091.573974609375, 450.064453125]","[746.4644775390625, 259.4275817871094]","[1092.16748046875, 591.3609619140625]","[624.606201171875, 236.4166259765625]","[1002.9486083984375, 580.5137939453125]","[891.4363403320312, 565.7553100585938]"
"[1057.8585205078125, 304.12548828125]","[866.8203125, 264.33734130859375]","[1091.6015625, 449.1500244140625]","[747.4818725585938, 266.4560546875]","[1092.4803466796875, 590.67431640625]","[623.626953125, 247.18002319335938]","[1002.9349365234375, 580.189208984375]","[891.462158203125, 565.9310302734375]"
"[1057.9471435546875, 303.7335205078125]","[866.21728515625, 266.1953430175781]","[1091.559326171875, 448.55865478515625]","[746.1995849609375, 273.8910217285156]","[1092.54248046875, 590.5773315429688]","[620.387939453125, 257.6725769042969]","[1003.823486328125, 580.0968017578125]","[892.0823974609375, 566.487060546875]"
"[1056.516357421875, 301.9803466796875]","[865.3632202148438, 265.87603759765625]","[1093.341552734375, 443.94793701171875]","[744.3836059570312, 282.00653076171875]","[1090.7734375, 590.8936157226562]","[622.1712646484375, 268.8240051269531]","[1004.5902099609375, 580.9476318359375]","[893.1170654296875, 566.6427001953125]"
"[1055.9449462890625, 302.8115539550781]","[865.1702880859375, 267.6563720703125]","[1093.13623046875, 443.19921875]","[745.2523803710938, 285.7696228027344]","[1090.8739013671875, 590.1615600585938]","[620.6007080078125, 277.3916015625]","[1005.0780029296875, 581.58935546875]","[893.84033203125, 567.6170043945312]"
"[1055.758056640625, 302.14483642578125]","[865.0134887695312, 268.06207275390625]","[1092.92236328125, 443.1437072753906]","[742.35009765625, 290.43634033203125]","[1090.4793701171875, 589.6982421875]","[617.4677124023438, 287.11810302734375]","[1004.7288208007812, 582.4411010742188]","[893.715087890625, 568.5750122070312]"
